Country Name,Country Name Domestic,Name,Transcription
Sweden,Sverige,Gizmo,
Sweden,Sverige,Gonzo,
Sweden,Sverige,Habibi,
Sweden,Sverige,Hasse,
Sweden,Sverige,Hubert,
Sweden,Sverige,Husky,
Sweden,Sverige,Husse,
Sweden,Sverige,Hubertus,
Sweden,Sverige,Hero,
Sweden,Sverige,Jack,
Sweden,Sverige,Jaxx,
Sweden,Sverige,Justus,
Sweden,Sverige,Lasse,
Sweden,Sverige,Leo,
Sweden,Sverige,Lego,
Sweden,Sverige,Mandus,
Sweden,Sverige,Max,
Sweden,Sverige,Mingus,
Sweden,Sverige,Morris,
Sweden,Sverige,Moses,
Sweden,Sverige,Musse,
Sweden,Sverige,Måns,
Sweden,Sverige,Nero,
Sweden,Sverige,Nisse,
Sweden,Sverige,Nix,
Sweden,Sverige,Olle,
Sweden,Sverige,Odin,
Sweden,Sverige,Ozzy,
Sweden,Sverige,Peps,
Sweden,Sverige,Pollux,
Sweden,Sverige,Poppe,
Sweden,Sverige,Sigge,
Sweden,Sverige,Simba,
Sweden,Sverige,Sixten,
Sweden,Sverige,Sixtus,
Sweden,Sverige,Sune,
Sweden,Sverige,Spyro,
Sweden,Sverige,Teo,
Sweden,Sverige,Tiger,
Sweden,Sverige,Titus,
Sweden,Sverige,Tusse,
Sweden,Sverige,Tyson,
Sweden,Sverige,Vasco,
Sweden,Sverige,Ville,
Sweden,Sverige,Yoda,
Sweden,Sverige,Ymer,
Sweden,Sverige,Zigge,
Sweden,Sverige,Zorro,
Sweden,Sverige,Ash,
Sweden,Sverige,Alex,
Sweden,Sverige,Ayo,
Sweden,Sverige,Bim,
Sweden,Sverige,Binx,
Sweden,Sverige,Bobbo,
Sweden,Sverige,Bodhi,
Sweden,Sverige,Bönan,
Sweden,Sverige,Charlie,
Sweden,Sverige,Cosmo,
Sweden,Sverige,Danni,
Sweden,Sverige,Deo,
Sweden,Sverige,Fax,
Sweden,Sverige,Femman,
Sweden,Sverige,Fluffis,
Sweden,Sverige,Fuffens,
Sweden,Sverige,Gena,
Sweden,Sverige,Godis,
Sweden,Sverige,Helix,
Sweden,Sverige,Hiro,
Sweden,Sverige,Hollis,
Sweden,Sverige,Isis,
Sweden,Sverige,Indy,
Sweden,Sverige,Izzy,
Sweden,Sverige,Jazz,
Sweden,Sverige,Jaxxy,
Sweden,Sverige,Jinx,
Sweden,Sverige,Jojo,
Sweden,Sverige,Joss,
Sweden,Sverige,Juno,
Sweden,Sverige,Kai,
Sweden,Sverige,Kali,
Sweden,Sverige,Keso,
Sweden,Sverige,Kin,
Sweden,Sverige,Knox,
Sweden,Sverige,Lex,
Sweden,Sverige,Lexie,
Sweden,Sverige,Lotus,
Sweden,Sverige,Lux,
Sweden,Sverige,Lynx,
Sweden,Sverige,Mazarin,
Sweden,Sverige,Mango,
Sweden,Sverige,Ming,
Sweden,Sverige,Mitten,
Sweden,Sverige,Mix,
Sweden,Sverige,Muffin,
Sweden,Sverige,Nacho,
Sweden,Sverige,Neo,
Sweden,Sverige,Ninja,
Sweden,Sverige,Ollie,
Sweden,Sverige,Omega,
Sweden,Sverige,Orion,
Sweden,Sverige,Pax,
Sweden,Sverige,Pepsi,
Sweden,Sverige,Pi,
Sweden,Sverige,Pich,
Sweden,Sverige,Ping,
Sweden,Sverige,Plex,
Sweden,Sverige,Pricken,
Sweden,Sverige,Pyxis,
Sweden,Sverige,Qi,
Sweden,Sverige,Quinn,
Sweden,Sverige,Raz,
Sweden,Sverige,Razzel,
Sweden,Sverige,Rio,
Sweden,Sverige,Sam,
Sweden,Sverige,Sammi,
Sweden,Sverige,Sassy,
Sweden,Sverige,Selah,
Sweden,Sverige,Sheba,
Sweden,Sverige,Shashi,
Sweden,Sverige,Shay,
Sweden,Sverige,Silver,
Sweden,Sverige,Simba,
Sweden,Sverige,Skorpan,
Sweden,Sverige,Smart,
Sweden,Sverige,Sockan,
Sweden,Sverige,Sol,
Sweden,Sverige,Spader,
Sweden,Sverige,Storm,
Sweden,Sverige,Strix,
Sweden,Sverige,Tabby,
Sweden,Sverige,Tass,
Sweden,Sverige,Tassen,
Sweden,Sverige,Tetris,
Sweden,Sverige,Tibby,
Sweden,Sverige,Tippex,
Sweden,Sverige,Trix,
Sweden,Sverige,Vinter,
Sweden,Sverige,Vix,
Sweden,Sverige,Wai,
Sweden,Sverige,Yoshi,
Sweden,Sverige,Yuri,
Sweden,Sverige,Zen,
Sweden,Sverige,Zeng,
Sweden,Sverige,Zion,
Sweden,Sverige,Åskan,
Sweden,Sverige,Älskling,
Sweden,Sverige,Ärtan,
Sweden,Sverige,Öglan,
Sweden,Sverige,Önska,
Spain,España,Abba,
Spain,España,Fofó,
Spain,España,Ginger,
Spain,España,Donald,
Spain,España,Fofito,
Spain,España,Copito,
Spain,España,Clint,
Spain,España,Ella,
Spain,España,Da vinci,
Spain,España,Pitingo,
Spain,España,Chanel,
Spain,España,Capone,
Spain,España,Bosco,
Spain,España,Dalton,
Spain,España,Frida,
Spain,España,Iker,
Spain,España,Romeo,
Spain,España,Figo,
Spain,España,Dooham,
Spain,España,Karim,
Spain,España,Úrsula,
Spain,España,Cobi,
Spain,España,Sacha,
